Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
EIC,EIC_batteries_1,1,1,-406.8400034033227,0.0,0.0,-406.8400034033227
EIC,EIC_biomass_1,1,1,1.112166574764999e8,0.0,0.0,1.112166574764999e8
EIC,EIC_conventional_hydroelectric_1,1,1,0.0,0.0,0.0,0.0
EIC,EIC_conventional_steam_coal_1,1,1,-1.174466887939288e-7,-0.0,-0.0,-1.174466887939288e-7
EIC,EIC_conventional_steam_coal_2,1,2,9.34917228286956e8,0.0,0.0,9.34917228286956e8
EIC,EIC_hydroelectric_pumped_storage_1,1,1,-725.5930050969799,-0.0,0.0,-725.5930050969799
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,1.7533361986026936e9,0.0,0.0,1.7533361986026936e9
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,1.0969765414694695e10,0.0,0.0,1.0969765414694695e10
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,6.387387317703122e9,0.0,0.0,6.387387317703122e9
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,6.72329694609094e8,0.0,0.0,6.72329694609094e8
EIC,EIC_natural_gas_internal_combustion_engine_1,1,1,1.6648600946482146e8,0.0,0.0,1.6648600946482146e8
EIC,EIC_natural_gas_steam_turbine_1,1,1,2.558479308962955e9,0.0,0.0,2.558479308962955e9
EIC,EIC_nuclear_1,1,1,48487.70219418674,0.0,0.0,48487.70219418674
EIC,EIC_offshore_wind_turbine_1,1,1,1.6273638625580345e6,0.0,0.0,1.6273638625580345e6
EIC,EIC_onshore_wind_turbine_1,1,1,1.0995588363140802e9,0.0,0.0,1.0995588363140802e9
EIC,EIC_petroleum_liquids_1,1,1,1.4977086925727088e9,0.0,0.0,1.4977086925727088e9
EIC,EIC_small_hydroelectric_1,1,1,3.547731749981374e7,0.0,0.0,3.547731749981374e7
EIC,EIC_solar_photovoltaic_1,1,1,6.658385568731403e7,0.0,0.0,6.658385568731403e7
TRE,TRE_batteries_1,2,1,-0.0,1.0483221003947355e7,-0.0,1.0483221003947355e7
TRE,TRE_biomass_1,2,1,0.0,2.506195495518945e6,0.0,2.506195495518945e6
