region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
EIC,EIC_batteries_1,1,1,1,0.0,0.0,4.440567e6,0.0,87943.92973065711,0.0,103903.50840361787,0.0,-6.174610033973739e7,-2.4291196042510662e7,0.0,-406.8400034033227,0.0,0.0,0.0,-2.4291602882514067e7,-5.711368590160312e7,3.282208301908905e7
EIC,EIC_biomass_1,1,1,2,0.0,0.0,2.59839125e8,0.0,1.10452212e8,1.284836865e9,0.0,0.0,0.0,7.920096278947325e7,0.0,1.112166574764999e8,0.0,0.0,0.0,1.9041762026597315e8,1.655128202e9,-1.464710581734027e9
EIC,EIC_conventional_hydroelectric_1,1,1,3,0.0,0.0,1.1385992383999999e9,0.0,0.0,0.0,0.0,0.0,0.0,1.4563566151543632e9,0.0,0.0,0.0,0.0,0.0,1.4563566151543632e9,1.1385992383999999e9,3.177573767543633e8
EIC,EIC_conventional_steam_coal_1,1,1,4,0.0,0.0,-1.4235047274269164e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.174466887939288e-7,0.0,0.0,0.0,-1.174466887939288e-7,-1.4235047274269164e-7,2.4903783948762838e-8
EIC,EIC_conventional_steam_coal_2,1,2,5,0.0,0.0,9.349172284845042e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34917228286956e8,0.0,0.0,0.0,9.34917228286956e8,9.349172284845042e8,-0.1975482702255249
EIC,EIC_hydroelectric_pumped_storage_1,1,1,6,0.0,0.0,8.366592888e8,0.0,0.0,0.0,0.0,0.0,-2.702591761423055e9,10409.497742762096,0.0,-725.5930050969799,0.0,0.0,0.0,9683.904737665116,-1.8659324726230552e9,1.865942156527793e9
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,7,0.0,0.0,4.432287924116057e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7533361986026936e9,0.0,0.0,0.0,1.7533361986026936e9,4.432287924116057e8,1.3101074061910877e9
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,8,0.0,0.0,1.876007089297214e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969765414694695e10,0.0,0.0,0.0,1.0969765414694695e10,1.876007089297214e9,9.09375832539748e9
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,9.923317204983727e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.387387317703122e9,0.0,0.0,0.0,6.387387317703122e9,9.923317204983727e8,5.395055597204749e9
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,10,0.0,0.0,1.4116768119536978e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72329694609094e8,0.0,0.0,0.0,6.72329694609094e8,1.4116768119536978e8,5.3116201341372424e8
