Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
EIC,EIC_batteries_1,1,1,-5102.893565801935,-0.0,-0.0,-5102.893565801935
EIC,EIC_biomass_1,1,1,6.121710709959016e7,0.0,0.0,6.121710709959016e7
EIC,EIC_conventional_hydroelectric_1,1,1,0.0,0.0,0.0,0.0
EIC,EIC_conventional_steam_coal_1,1,1,-6.464631008991948e-8,-0.0,-0.0,-6.464631008991948e-8
EIC,EIC_conventional_steam_coal_2,1,2,4840.921982288473,0.0,0.0,4840.921982288473
EIC,EIC_hydroelectric_pumped_storage_1,1,1,-15655.726843939023,-0.0,-0.0,-15655.726843939023
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,9.650905066286322e8,0.0,0.0,9.650905066286322e8
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,6.038099810582674e9,0.0,0.0,6.038099810582674e9
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,3.5158164006517115e9,0.0,0.0,3.5158164006517115e9
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,3.700709239125157e8,0.0,0.0,3.700709239125157e8
EIC,EIC_natural_gas_internal_combustion_engine_1,1,1,9.163869723406354e7,0.0,0.0,9.163869723406354e7
EIC,EIC_natural_gas_steam_turbine_1,1,1,1.3550512722645104e9,0.0,0.0,1.3550512722645104e9
EIC,EIC_nuclear_1,1,1,2.9287041269249477e9,0.0,0.0,2.9287041269249477e9
EIC,EIC_offshore_wind_turbine_1,1,1,895734.5051265194,0.0,0.0,895734.5051265194
EIC,EIC_onshore_wind_turbine_1,1,1,6.05222074590043e8,0.0,0.0,6.05222074590043e8
EIC,EIC_petroleum_liquids_1,1,1,8.243856369831715e8,0.0,0.0,8.243856369831715e8
EIC,EIC_small_hydroelectric_1,1,1,1.952773849453371e7,0.0,0.0,1.952773849453371e7
EIC,EIC_solar_photovoltaic_1,1,1,3.664998661198328e7,0.0,0.0,3.664998661198328e7
TRE,TRE_batteries_1,2,1,-0.0,562893.1176673701,-0.0,562893.1176673701
TRE,TRE_biomass_1,2,1,0.0,485584.39554019045,0.0,485584.39554019045
TRE,TRE_conventional_hydroelectric_1,2,1,0.0,0.0,0.0,0.0
TRE,TRE_conventional_steam_coal_1,2,1,0.0,0.0,0.0,0.0
TRE,TRE_conventional_steam_coal_2,2,2,0.0,0.0,0.0,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,2,1,0.0,2.7893693205583036e8,0.0,2.7893693205583036e8
TRE,TRE_natural_gas_fired_combined_cycle_2,2,2,0.0,15227.966365834744,0.0,15227.966365834744
TRE,TRE_natural_gas_fired_combustion_turbine_1,2,1,0.0,3.1890740077327725e7,0.0,3.1890740077327725e7
TRE,TRE_natural_gas_fired_combustion_turbine_2,2,2,0.0,23534.670978152993,0.0,23534.670978152993
TRE,TRE_natural_gas_internal_combustion_engine_1,2,1,0.0,0.0,0.0,0.0
TRE,TRE_natural_gas_steam_turbine_1,2,1,0.0,284.09702535341984,0.0,284.09702535341984
TRE,TRE_nuclear_1,2,1,0.0,5.5868460061782755e7,0.0,5.5868460061782755e7
TRE,TRE_onshore_wind_turbine_1,2,1,0.0,3.128951181806344e7,0.0,3.128951181806344e7
TRE,TRE_petroleum_liquids_1,2,1,0.0,226.06538637222485,0.0,226.06538637222485
TRE,TRE_small_hydroelectric_1,2,1,0.0,4451.216136669946,0.0,4451.216136669946
TRE,TRE_solar_photovoltaic_1,2,1,0.0,5.97683148455604e6,0.0,5.97683148455604e6
WECC,WECC_batteries_1,3,1,-0.0,-0.0,-7494.158774712402,-7494.158774712402
WECC,WECC_biomass_1,3,1,0.0,0.0,1.1572696205371687e7,1.1572696205371687e7
WECC,WECC_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
WECC,WECC_conventional_steam_coal_1,3,1,0.0,0.0,307.6017314709357,307.6017314709357
WECC,WECC_conventional_steam_coal_2,3,2,0.0,0.0,0.0,0.0
WECC,WECC_geothermal_1,3,1,0.0,0.0,3.680579461033274e7,3.680579461033274e7
WECC,WECC_hydroelectric_pumped_storage_1,3,1,-0.0,-0.0,-17754.8098720903,-17754.8098720903
WECC,WECC_natural_gas_fired_combined_cycle_1,3,1,0.0,0.0,7.89574490692687e8,7.89574490692687e8
WECC,WECC_natural_gas_fired_combined_cycle_2,3,2,0.0,0.0,2.625884201295384e8,2.625884201295384e8
WECC,WECC_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,3.2035308716077e8,3.2035308716077e8
WECC,WECC_natural_gas_fired_combustion_turbine_2,3,2,0.0,0.0,1.3193223700068879e8,1.3193223700068879e8
WECC,WECC_natural_gas_internal_combustion_engine_1,3,1,0.0,0.0,5.199103244878736e6,5.199103244878736e6
WECC,WECC_natural_gas_steam_turbine_1,3,1,0.0,0.0,14062.266804550449,14062.266804550449
WECC,WECC_nuclear_1,3,1,0.0,0.0,1.0868907666649649e8,1.0868907666649649e8
WECC,WECC_onshore_wind_turbine_1,3,1,0.0,0.0,7.135585145217359e7,7.135585145217359e7
WECC,WECC_petroleum_liquids_1,3,1,0.0,0.0,1.3362158486129701e7,1.3362158486129701e7
WECC,WECC_small_hydroelectric_1,3,1,0.0,0.0,7.1905029161334615e6,7.1905029161334615e6
WECC,WECC_solar_photovoltaic_1,3,1,0.0,0.0,4.868948330842593e7,4.868948330842593e7
WECC,WECC_distributed_generation_1,3,1,0.0,0.0,6.924046287140112e8,6.924046287140112e8
EIC,EIC_distributed_generation_1,1,1,5.64604597188994e9,0.0,0.0,5.64604597188994e9
TRE,TRE_distributed_generation_1,2,1,0.0,3.756101333745999e7,0.0,3.756101333745999e7
EIC,EIC_naturalgas_ccavgcf_moderate_0,1,0,0.0,0.0,0.0,0.0
EIC,EIC_naturalgas_ctavgcf_moderate_0,1,0,2837.0014315034123,0.0,0.0,2837.0014315034123
EIC,EIC_battery_moderate_0,1,0,-41299.53182574511,-0.0,-0.0,-41299.53182574511
EIC,EIC_naturalgas_ccccsavgcf_conservative_0,1,0,0.0,0.0,0.0,0.0
EIC,EIC_advnuclear_atb_moderate_0,1,0,153560.68717490582,0.0,0.0,153560.68717490582
