region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
EIC,EIC_batteries_1,1,1,1,0.0,0.0,4.440567e6,0.0,108473.61221238914,0.0,128158.80454890933,0.0,-5.793900789727515e7,-2.057369956222824e7,0.0,-2937.29665502666,0.0,0.0,0.0,-2.0576636858883265e7,-5.3261808480513856e7,3.268517162163059e7
EIC,EIC_biomass_1,1,1,2,0.0,0.0,2.59839125e8,0.0,1.10452212e8,1.284836865e9,0.0,0.0,0.0,5.842341725543105e7,0.0,1.1121661603767487e8,0.0,0.0,0.0,1.6964003329310593e8,1.655128202e9,-1.4854881687068942e9
EIC,EIC_conventional_hydroelectric_1,1,1,3,0.0,0.0,1.1385992383999999e9,0.0,0.0,0.0,0.0,0.0,0.0,1.3047181090703235e9,0.0,0.0,0.0,0.0,0.0,1.3047181090703235e9,1.1385992383999999e9,1.661188706703236e8
EIC,EIC_conventional_steam_coal_1,1,1,4,0.0,0.0,-1.4235047274269164e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.174466450338222e-7,0.0,0.0,0.0,-1.174466450338222e-7,-1.4235047274269164e-7,2.4903827708869436e-8
EIC,EIC_conventional_steam_coal_2,1,2,5,0.0,0.0,3.8204240462694783e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8204226219894514e9,0.0,0.0,0.0,3.8204226219894514e9,3.8204240462694783e9,-1424.2800269126892
EIC,EIC_hydroelectric_pumped_storage_1,1,1,6,0.0,0.0,8.366592888e8,0.0,0.0,0.0,0.0,0.0,-2.3906259978695483e9,3.082195655627972e8,0.0,-10531.312565298464,0.0,0.0,0.0,3.0820903425023186e8,-1.5539667090695484e9,1.8621757433197803e9
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,7,0.0,0.0,4.4322878940936416e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753335533441191e9,0.0,0.0,0.0,1.753335533441191e9,4.4322878940936416e8,1.3101067440318267e9
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,8,0.0,0.0,1.8760070807851427e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969761277636095e10,0.0,0.0,0.0,1.0969761277636095e10,1.8760070807851427e9,9.093754196850952e9
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,9.923317124677184e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38738488610015e9,0.0,0.0,0.0,6.38738488610015e9,9.923317124677184e8,5.395053173632432e9
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,10,0.0,0.0,1.4116767238188273e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.723294021267033e8,0.0,0.0,0.0,6.723294021267033e8,1.4116767238188273e8,5.3116172974482054e8
EIC,EIC_natural_gas_internal_combustion_engine_1,1,1,11,0.0,0.0,5.414847462742175e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6648586942190182e8,0.0,0.0,0.0,1.6648586942190182e8,5.414847462742175e7,1.1233739479448007e8
EIC,EIC_natural_gas_steam_turbine_1,1,1,12,0.0,0.0,1.4081606664880369e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5584792148260994e9,0.0,0.0,0.0,2.5584792148260994e9,1.4081606664880369e9,1.1503185483380625e9
EIC,EIC_nuclear_1,1,1,13,0.0,0.0,961404.7883908264,0.0,16721.176662111757,44914.611326380116,0.0,6387.150543600669,0.0,607647.6143376911,0.0,288973.61334581126,0.0,0.0,0.0,896621.2276835024,1.029427726922919e6,-132806.49923941668
EIC,EIC_offshore_wind_turbine_1,1,1,14,0.0,0.0,3.2668013314677244e6,0.0,0.0,0.0,0.0,0.0,0.0,5.134211131292092e6,0.0,1.6273498248543125e6,0.0,0.0,0.0,6.761560956146404e6,3.2668013314677244e6,3.4947596246786797e6
EIC,EIC_onshore_wind_turbine_1,1,1,15,0.0,0.0,2.038514709133281e9,0.0,0.0,0.0,0.0,0.0,0.0,2.0957083979678066e9,0.0,1.099549050703226e9,0.0,0.0,0.0,3.195257448671033e9,2.038514709133281e9,1.156742739537752e9
EIC,EIC_petroleum_liquids_1,1,1,16,0.0,0.0,4.871202e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4977084870438976e9,0.0,0.0,0.0,1.4977084870438976e9,4.871202e8,1.0105882870438976e9
EIC,EIC_small_hydroelectric_1,1,1,17,0.0,0.0,7.867366560000001e7,0.0,0.0,0.0,0.0,0.0,0.0,1.8450335882306993e7,0.0,3.547716307733106e7,0.0,0.0,0.0,5.392749895963805e7,7.867366560000001e7,-2.4746166640361957e7
EIC,EIC_solar_photovoltaic_1,1,1,18,0.0,0.0,1.9306211020178512e8,0.0,0.0,0.0,0.0,0.0,0.0,2.3834588361348978e8,0.0,6.658432199770635e7,0.0,0.0,0.0,3.0493020561119616e8,1.9306211020178512e8,1.1186809540941104e8
TRE,TRE_batteries_1,2,1,19,0.0,0.0,2.2489645e6,0.0,37540.41110890957,0.0,44353.037649713246,0.0,82015.20170172233,1.4699370573583134e7,0.0,2.9702420110671367e6,0.0,0.0,0.0,1.766961258465027e7,2.412873150460345e6,1.5256739434189925e7
TRE,TRE_biomass_1,2,1,20,0.0,0.0,6.712825e6,0.0,2.5377281999999997e6,2.9528865e7,0.0,0.0,0.0,1.0039974875895035e7,0.0,2.5061924883647393e6,0.0,0.0,0.0,1.2546167364259774e7,3.87794182e7,-2.623325083574023e7
TRE,TRE_conventional_hydroelectric_1,2,1,21,0.0,0.0,2.2441896e7,0.0,0.0,0.0,0.0,0.0,0.0,1.5227054505986461e7,0.0,0.0,0.0,0.0,0.0,1.5227054505986461e7,2.2441896e7,-7.214841494013539e6
TRE,TRE_conventional_steam_coal_1,2,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE,TRE_conventional_steam_coal_2,2,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,2,1,24,0.0,0.0,3.288778445142599e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6974018573742645e9,0.0,0.0,0.0,1.6974018573742645e9,3.288778445142599e8,1.3685240128600047e9
TRE,TRE_natural_gas_fired_combined_cycle_2,2,2,25,0.0,0.0,9.917365484385435e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558003793703701e8,0.0,0.0,0.0,3.558003793703701e8,9.917365484385435e7,2.5662672452651572e8
